SUMMARY______________________________,,,,,
files:,,,,,
Gdax_BTCUSD_1h_new.csv,,,,,
Gdax_ETHUSD_1h_new.csv,,,,,
predInd=2,d=1,,,,
inputs:     2,,,,,
,,,,,
trainMSE,testMSE,n,g_p,C,params
53.58698,8.177148,100,1000,0.1,-s 3 -t 2 -g 10 -c 1.000000e-01
54.182334,8.168748,300,1000,0.1,-s 3 -t 2 -g 3.333333e+00 -c 1.000000e-01
117.969705,10.151746,3,0.001,1,-s 3 -t 2 -g 3.333333e-04 -c 1
94.908222,8.474928,10,0.001,1,-s 3 -t 2 -g 1.000000e-04 -c 1
89.445526,8.233722,30,0.001,1,-s 3 -t 2 -g 3.333333e-05 -c 1
88.559569,7.944658,100,0.001,1,-s 3 -t 2 -g 1.000000e-05 -c 1
89.886927,8.011757,300,0.001,1,-s 3 -t 2 -g 3.333333e-06 -c 1
101.617811,8.673081,3,0.01,1,-s 3 -t 2 -g 3.333333e-03 -c 1
92.375202,8.244183,10,0.01,1,-s 3 -t 2 -g 1.000000e-03 -c 1
88.324387,8.191734,30,0.01,1,-s 3 -t 2 -g 3.333333e-04 -c 1
87.981692,7.90974,100,0.01,1,-s 3 -t 2 -g 1.000000e-04 -c 1
89.51919,7.966061,300,0.01,1,-s 3 -t 2 -g 3.333333e-05 -c 1
81.100244,7.13999,3,0.1,1,-s 3 -t 2 -g 3.333333e-02 -c 1
84.675654,7.567694,10,0.1,1,-s 3 -t 2 -g 1.000000e-02 -c 1
82.697545,7.727985,30,0.1,1,-s 3 -t 2 -g 3.333333e-03 -c 1
83.937414,7.680881,100,0.1,1,-s 3 -t 2 -g 1.000000e-03 -c 1
86.731837,7.912125,300,0.1,1,-s 3 -t 2 -g 3.333333e-04 -c 1
76.573904,7.65287,3,1,1,-s 3 -t 2 -g 3.333333e-01 -c 1
76.95021,7.704669,10,1,1,-s 3 -t 2 -g 1.000000e-01 -c 1
76.722873,7.481522,30,1,1,-s 3 -t 2 -g 3.333333e-02 -c 1
76.027706,7.349458,100,1,1,-s 3 -t 2 -g 1.000000e-02 -c 1
76.399802,7.776853,300,1,1,-s 3 -t 2 -g 3.333333e-03 -c 1
70.735717,7.125379,3,10,1,-s 3 -t 2 -g 3.333333e+00 -c 1
60.184722,7.543876,10,10,1,-s 3 -t 2 -g 1 -c 1
51.918404,7.53839,30,10,1,-s 3 -t 2 -g 3.333333e-01 -c 1
52.960453,7.863638,100,10,1,-s 3 -t 2 -g 1.000000e-01 -c 1
53.269683,8.570203,300,10,1,-s 3 -t 2 -g 3.333333e-02 -c 1
58.1241,7.850955,3,100,1,-s 3 -t 2 -g 3.333333e+01 -c 1
32.592413,7.621106,10,100,1,-s 3 -t 2 -g 10 -c 1
30.31243,8.877967,30,100,1,-s 3 -t 2 -g 3.333333e+00 -c 1
30.494585,11.039721,100,100,1,-s 3 -t 2 -g 1 -c 1
30.954812,13.318336,300,100,1,-s 3 -t 2 -g 3.333333e-01 -c 1
41.439193,11.501179,3,1000,1,-s 3 -t 2 -g 3.333333e+02 -c 1
30.653794,11.518253,10,1000,1,-s 3 -t 2 -g 100 -c 1
29.525367,9.828935,30,1000,1,-s 3 -t 2 -g 3.333333e+01 -c 1
27.351793,8.339728,100,1000,1,-s 3 -t 2 -g 10 -c 1
26.311421,8.43344,300,1000,1,-s 3 -t 2 -g 3.333333e+00 -c 1
101.602608,8.672624,3,0.001,10,-s 3 -t 2 -g 3.333333e-04 -c 10
92.373279,8.244189,10,0.001,10,-s 3 -t 2 -g 1.000000e-04 -c 10
88.323833,8.191923,30,0.001,10,-s 3 -t 2 -g 3.333333e-05 -c 10
87.981488,7.909775,100,0.001,10,-s 3 -t 2 -g 1.000000e-05 -c 10
89.518991,7.965949,300,0.001,10,-s 3 -t 2 -g 3.333333e-06 -c 10
81.096755,7.119107,3,0.01,10,-s 3 -t 2 -g 3.333333e-03 -c 10
84.711765,7.575512,10,0.01,10,-s 3 -t 2 -g 1.000000e-03 -c 10
82.687152,7.716068,30,0.01,10,-s 3 -t 2 -g 3.333333e-04 -c 10
83.921661,7.682008,100,0.01,10,-s 3 -t 2 -g 1.000000e-04 -c 10
86.723972,7.911866,300,0.01,10,-s 3 -t 2 -g 3.333333e-05 -c 10
77.346143,7.31321,3,0.1,10,-s 3 -t 2 -g 3.333333e-02 -c 10
78.178796,7.195176,10,0.1,10,-s 3 -t 2 -g 1.000000e-02 -c 10
78.013826,7.378933,30,0.1,10,-s 3 -t 2 -g 3.333333e-03 -c 10
76.701009,7.356594,100,0.1,10,-s 3 -t 2 -g 1.000000e-03 -c 10
76.590691,7.678648,300,0.1,10,-s 3 -t 2 -g 3.333333e-04 -c 10
74.839556,7.57653,3,1,10,-s 3 -t 2 -g 3.333333e-01 -c 10
72.726098,8.367774,10,1,10,-s 3 -t 2 -g 1.000000e-01 -c 10
67.24935,8.319994,30,1,10,-s 3 -t 2 -g 3.333333e-02 -c 10
69.279886,7.496263,100,1,10,-s 3 -t 2 -g 1.000000e-02 -c 10
68.850912,8.215723,300,1,10,-s 3 -t 2 -g 3.333333e-03 -c 10
67.301596,7.243975,3,10,10,-s 3 -t 2 -g 3.333333e+00 -c 10
48.867177,7.351572,10,10,10,-s 3 -t 2 -g 1 -c 10
38.950776,7.442018,30,10,10,-s 3 -t 2 -g 3.333333e-01 -c 10
34.223476,8.56542,100,10,10,-s 3 -t 2 -g 1.000000e-01 -c 10
37.332671,10.634695,300,10,10,-s 3 -t 2 -g 3.333333e-02 -c 10
53.466191,8.72032,3,100,10,-s 3 -t 2 -g 3.333333e+01 -c 10
31.16314,8.166102,10,100,10,-s 3 -t 2 -g 10 -c 10
31.075031,10.265768,30,100,10,-s 3 -t 2 -g 3.333333e+00 -c 10
30.658903,12.12165,100,100,10,-s 3 -t 2 -g 1 -c 10
31.283313,14.316796,300,100,10,-s 3 -t 2 -g 3.333333e-01 -c 10
39.373441,13.813642,3,1000,10,-s 3 -t 2 -g 3.333333e+02 -c 10
30.653794,11.518253,10,1000,10,-s 3 -t 2 -g 100 -c 10
29.525367,9.828935,30,1000,10,-s 3 -t 2 -g 3.333333e+01 -c 10
27.351793,8.339728,100,1000,10,-s 3 -t 2 -g 10 -c 10
26.311421,8.43344,300,1000,10,-s 3 -t 2 -g 3.333333e+00 -c 10
81.118968,7.119107,3,0.001,100,-s 3 -t 2 -g 3.333333e-04 -c 100
