Created on 03-03-2018,http://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-02-24 06-AM,ETHUSD,869.91,869.91,844.71,850.01,4390.23,3753482.51
2018-02-24 05-AM,ETHUSD,865,871.52,862.28,869.91,1843.35,1598964.87
2018-02-24 04-AM,ETHUSD,865.13,871.51,862.42,865,2718.25,2359081.97
2018-02-24 03-AM,ETHUSD,872,872,859.94,865.13,3112.69,2690280.17
2018-02-24 02-AM,ETHUSD,867.89,874.66,867,872,2752.42,2396734.99
2018-02-24 01-AM,ETHUSD,865.99,867.89,859.09,867.89,1797.55,1552829.77
2018-02-24 12-AM,ETHUSD,854.01,867.89,848.56,865.99,2711.31,2335425.17
2018-02-23 11-PM,ETHUSD,852.34,859.64,848.49,854.01,2749.4,2349504.35
2018-02-23 10-PM,ETHUSD,833.92,852.34,833.6,852.34,4510.9,3789571.44
2018-02-23 09-PM,ETHUSD,837,844.29,830.82,833.92,3176.16,2659540.49
2018-02-23 08-PM,ETHUSD,838.3,838.3,826.71,837,4317.56,3590000.14
2018-02-23 07-PM,ETHUSD,852.58,854,835.99,838.3,2916.02,2465696.44
2018-02-23 06-PM,ETHUSD,847.24,859.79,845.06,852.58,3506.51,2995833.0
2018-02-23 05-PM,ETHUSD,844.44,847.93,843,847.24,3197.08,2700827.85
2018-02-23 04-PM,ETHUSD,865.84,866.71,843.21,844.44,5502.75,4692463.4
2018-02-23 03-PM,ETHUSD,868.9,877.5,862.38,865.84,3811.87,3315313.87
2018-02-23 02-PM,ETHUSD,869.99,883,868.57,868.9,4886.67,4284323.82
2018-02-23 01-PM,ETHUSD,870.99,873.06,865.43,869.99,2698.34,2349163.52
2018-02-23 12-PM,ETHUSD,872.84,875,861.9,870.99,4361.01,3789326.11
2018-02-23 11-AM,ETHUSD,853.85,874.22,853.84,872.84,3920.61,3395997.65
2018-02-23 10-AM,ETHUSD,854.74,861.87,851.48,853.85,2009.44,1722348.84
2018-02-23 09-AM,ETHUSD,848,863.99,847.58,854.74,3004.62,2570385.42
2018-02-23 08-AM,ETHUSD,838.96,849.56,838.96,848,2119.11,1793722.03
2018-02-23 07-AM,ETHUSD,827.48,838.97,827.48,838.96,1779.82,1485087.73
2018-02-23 06-AM,ETHUSD,827.21,829.78,816.78,827.48,5224.07,4301373.99
2018-02-23 05-AM,ETHUSD,835.01,845.48,827.21,827.21,5619.92,4716157.61
2018-02-23 04-AM,ETHUSD,835.09,848.24,828.71,835.01,7674.68,6445206.65
2018-02-23 03-AM,ETHUSD,813.89,837.33,811.51,835.09,7512.47,6199263.12
2018-02-23 02-AM,ETHUSD,802.51,815.1,797.42,813.89,3559.73,2873707.21
2018-02-23 01-AM,ETHUSD,794.4,802.51,786.53,802.51,4004.59,3179857.49
2018-02-23 12-AM,ETHUSD,806,806,786.4,794.4,7532.28,5985842.24
2018-02-22 11-PM,ETHUSD,807.3,810.41,805,806,2075.44,1676849.7
2018-02-22 10-PM,ETHUSD,807.37,807.37,802.74,807.3,2755.89,2218885.41
2018-02-22 09-PM,ETHUSD,813.43,816.01,803.41,807.37,5084.13,4117169.85
2018-02-22 08-PM,ETHUSD,810,814.44,806.51,813.43,4077.62,3306732.71
2018-02-22 07-PM,ETHUSD,808.46,810,801.33,810,3806.42,3068289.25
2018-02-22 06-PM,ETHUSD,797.5,809,795,808.46,4893.01,3924371.19
2018-02-22 05-PM,ETHUSD,809.1,809.82,790.01,797.5,7898.71,6304378.57
2018-02-22 04-PM,ETHUSD,813.52,815,802.11,809.1,4042.05,3274197.37
2018-02-22 03-PM,ETHUSD,799.95,820,798.57,813.52,5770.59,4679566.95
2018-02-22 02-PM,ETHUSD,798.49,811.58,792,799.95,7393.94,5930861.71
2018-02-22 01-PM,ETHUSD,804.49,810.8,791.42,798.49,8965.25,7161117.12
2018-02-22 12-PM,ETHUSD,830.05,839.42,801.51,804.49,6232.33,5092618.19
2018-02-22 11-AM,ETHUSD,819.01,832.37,818,830.05,2227.67,1838195.02
2018-02-22 10-AM,ETHUSD,831.79,834.56,817.5,819.01,3900.79,3212163.84
2018-02-22 09-AM,ETHUSD,839.1,847,830.99,831.79,2817.76,2360951.41
2018-02-22 08-AM,ETHUSD,852.01,853.24,838,839.1,2037.97,1723082.4
2018-02-22 07-AM,ETHUSD,865.25,868.5,845,852.01,2704.0,2317715.14
2018-02-22 06-AM,ETHUSD,863.81,870,863.8,865.25,1645.5,1428083.99
2018-02-22 05-AM,ETHUSD,855.6,866.93,855.49,863.81,3209.34,2769666.3
2018-02-22 04-AM,ETHUSD,856,856,845.94,855.6,2678.93,2278806.75
2018-02-22 03-AM,ETHUSD,855,858.21,851,856,2391.3,2045085.39
2018-02-22 02-AM,ETHUSD,851.75,859.93,850,855,4834.7,4136532.2
